LB Processes,Liquid_Biopsy_Processing_Sequence,Sunday January 19th,Wedneday January 22nd,Thursday January 23rd,Friday January 24th,Saturday January 25th
gDNA_Extraction,4,,LA|ED|JL,,,
cfDNA_Extraction,6,,,QH|AT,QH,
Review,15,,,,,AHU
HPV_cfDNA_Extraction,N/A,JA,QH|JA,,,
gDNA_Fractionation_Plate_Preparation,3,,,LA|ED|JL,LA|ED|JL,
NGS_Plate_Preparation,7,,JA|AT,SF|AJ,,
NGS_Library_Preparation,8,,ACB|AHU|AJ,DDD,ACB,
NGS_PCR_Clean_Up,9,,,JA,SF,SF
NGS_Hyb_Day_1,10,,,ACB,DDD,
NGS_Hyb_Day_2,11,JA,,,AT,AT
NGS_Pooling,13,AJ,,,,DDD
Batching,N/A,,DDD,AJ,ED,
